	Seminat_Rho	Contr_Rho	Seminat_Vanzago	Contr_Vanzago	Seminat_Foppa	Contr_Foppa	Seminat_Aironi	Contr_Aironi	Seminat_Azzurro	Contr_Azzurro	Seminat_Lura	Contr_Lura	FWS_Merone	Contr_Merone	FWS_Capiago	Contr_Capiago	FWS_Carimate	Contr_Carimate	FWS_VillaG	Contr_VillaG	FWS_Mozzate	Contr_Mozzate	FWS_Gorla	Contr_Gorla
Aegithalos_caudatus	16	5	9	3	6	1	6	1	8	6	3	2	7	12	6	3	6	2	11	3	8	0	3	10
Alauda_arvensis	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	13	0	0
Alcedo_atthis	1	0	1	0	3	1	0	0	0	0	2	0	1	1	0	0	0	0	0	0	0	0	2	0
Anas_crecca	0	0	0	0	0	0	0	0	0	0	8	0	0	0	0	0	0	0	0	0	4	0	1	0
Anas_platyrhynchos	4	0	31	0	20	0	10	0	6	0	11	0	16	4	1	0	13	0	0	0	30	0	5	0
Anthus_pratensis	8	5	1	0	2	2	1	2	0	1	5	2	2	1	1	2	1	1	0	1	1	19	2	0
Anthus_spinoletta	0	0	0	0	0	0	0	0	0	0	1	0	2	0	0	1	0	0	0	0	0	0	0	0
Ardea_alba	1	0	1	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
Ardea_cinerea	6	5	1	0	1	0	1	0	1	0	6	0	2	0	0	0	3	1	1	0	1	0	3	0
Botaurus_stellaris	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
Bubulcus_ibis	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Carduelis_carduelis	2	1	0	0	1	1	0	0	0	1	1	1	0	1	2	0	1	0	2	1	0	1	0	1
